2021-11-20 16:19:31,286 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-11-20 16:19:31,313 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-11-20 16:19:31,314 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-11-20 16:19:31,315 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-11-20 16:19:31,337 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-11-20 16:19:31,337 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-11-20 16:19:31,339 INFO  SwAddin.cs: 201 - Setting up command manager
2021-11-20 16:19:31,340 INFO  SwAddin.cs: 204 - Adding command manager
2021-11-20 16:19:31,342 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-11-20 16:19:31,343 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-11-20 16:19:31,343 INFO  SwAddin.cs: 210 - Adding event handlers
2021-11-20 16:19:31,681 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-11-20 16:27:04,109 INFO  SwAddin.cs: 294 - Assembly export called for file frame_v2_asm
2021-11-20 16:27:07,073 INFO  SwAddin.cs: 313 - Saving assembly
2021-11-20 16:27:14,568 INFO  SwAddin.cs: 316 - Opening property manager
2021-11-20 16:27:14,625 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from frame_v2_asm
2021-11-20 16:27:14,684 INFO  ExportHelperExtension.cs: 1136 - Found 23 in frame_v2_asm
2021-11-20 16:27:14,685 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in frame_v2_asm
2021-11-20 16:27:14,685 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-20 16:27:14,687 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-20 16:27:14,688 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from frame_v2_asm.stp-1
2021-11-20 16:27:14,688 INFO  ExportHelperExtension.cs: 1136 - Found 32 in frame_v2_asm.stp-1
2021-11-20 16:27:14,689 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in frame_v2_asm.stp-1
2021-11-20 16:27:14,689 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from frame_v2_asm
2021-11-20 16:27:14,689 INFO  ExportHelperExtension.cs: 1136 - Found 23 in frame_v2_asm
2021-11-20 16:27:14,690 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in frame_v2_asm
2021-11-20 16:27:14,690 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-20 16:27:14,691 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-20 16:27:14,691 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from frame_v2_asm.stp-1
2021-11-20 16:27:14,692 INFO  ExportHelperExtension.cs: 1136 - Found 32 in frame_v2_asm.stp-1
2021-11-20 16:27:14,692 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in frame_v2_asm.stp-1
2021-11-20 16:27:16,320 INFO  SwAddin.cs: 339 - Loading config tree
2021-11-20 16:27:16,324 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-11-20 16:27:16,330 INFO  SwAddin.cs: 344 - Showing property manager
2021-11-20 16:28:58,665 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-20 16:28:59,088 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-20 16:28:59,552 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-20 16:28:59,998 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-20 16:29:23,923 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-20 16:33:15,526 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2021-11-20 16:35:33,900 INFO  ExportHelperExtension.cs: 347 - Creating joint Link_1
2021-11-20 16:35:33,913 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2021-11-20 16:35:33,915 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2021-11-20 16:35:33,915 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2021-11-20 16:35:33,916 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2021-11-20 16:35:33,916 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2021-11-20 16:35:33,916 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2021-11-20 16:35:33,917 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2021-11-20 16:35:33,918 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2021-11-20 16:35:33,918 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2021-11-20 16:35:33,919 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2021-11-20 16:35:33,919 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2021-11-20 16:35:33,920 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2021-11-20 16:35:33,921 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2021-11-20 16:35:34,004 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2021-11-20 16:35:34,004 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-11-20 16:35:34,005 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-11-20 16:35:34,005 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-11-20 16:35:35,684 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child Link_1 failed
2021-11-20 16:35:36,307 INFO  ExportHelperExtension.cs: 347 - Creating joint Link_2
2021-11-20 16:35:36,308 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2021-11-20 16:35:36,308 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2021-11-20 16:35:36,309 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2021-11-20 16:35:36,309 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2021-11-20 16:35:36,309 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2021-11-20 16:35:36,310 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2021-11-20 16:35:36,310 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2021-11-20 16:35:36,311 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2021-11-20 16:35:36,311 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2021-11-20 16:35:36,312 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2021-11-20 16:35:36,312 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2021-11-20 16:35:36,313 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2021-11-20 16:35:36,313 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2021-11-20 16:35:36,398 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2021-11-20 16:35:36,398 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-11-20 16:35:36,399 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-11-20 16:35:36,399 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-11-20 16:35:37,842 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child Link_2 failed
2021-11-20 16:35:38,466 INFO  ExportHelperExtension.cs: 347 - Creating joint Link_3
2021-11-20 16:35:38,471 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2021-11-20 16:35:38,471 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2021-11-20 16:35:38,472 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2021-11-20 16:35:38,473 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2021-11-20 16:35:38,473 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2021-11-20 16:35:38,474 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2021-11-20 16:35:38,474 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2021-11-20 16:35:38,475 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2021-11-20 16:35:38,475 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2021-11-20 16:35:38,475 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2021-11-20 16:35:38,476 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2021-11-20 16:35:38,476 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2021-11-20 16:35:38,477 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2021-11-20 16:35:38,563 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2021-11-20 16:35:38,564 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-11-20 16:35:38,564 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-11-20 16:35:38,564 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-11-20 16:35:40,051 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child Link_3 failed
2021-11-20 16:35:40,778 INFO  ExportHelperExtension.cs: 347 - Creating joint Link_4
2021-11-20 16:35:40,779 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2021-11-20 16:35:40,779 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2021-11-20 16:35:40,780 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2021-11-20 16:35:40,780 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2021-11-20 16:35:40,781 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2021-11-20 16:35:40,781 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2021-11-20 16:35:40,782 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2021-11-20 16:35:40,783 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2021-11-20 16:35:40,783 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2021-11-20 16:35:40,784 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2021-11-20 16:35:40,786 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2021-11-20 16:35:40,786 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2021-11-20 16:35:40,787 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2021-11-20 16:35:40,887 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2021-11-20 16:35:40,888 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-11-20 16:35:40,888 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-11-20 16:35:40,889 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-11-20 16:35:42,577 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child Link_4 failed
2021-11-20 16:35:43,548 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from frame_v2_asm
2021-11-20 16:35:43,568 INFO  ExportHelperExtension.cs: 1136 - Found 30 in frame_v2_asm
2021-11-20 16:35:43,569 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [CoordSys] in frame_v2_asm
2021-11-20 16:35:43,569 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-20 16:35:43,570 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-20 16:35:43,570 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from frame_v2_asm.stp-1
2021-11-20 16:35:43,571 INFO  ExportHelperExtension.cs: 1136 - Found 32 in frame_v2_asm.stp-1
2021-11-20 16:35:43,571 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in frame_v2_asm.stp-1
2021-11-20 16:35:43,572 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from frame_v2_asm
2021-11-20 16:35:43,573 INFO  ExportHelperExtension.cs: 1136 - Found 30 in frame_v2_asm
2021-11-20 16:35:43,575 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in frame_v2_asm
